review_text,rating,date,bank,source,sentiment_label_bert,sentiment_score_bert,sentiment_score_vader,sentiment_label_vader,sentiment_label,sentiment_score,identified_theme
good,5,2025-11-30,CBE,Google Play,POSITIVE,0.9998161196708679,0.4404,POSITIVE,POSITIVE,0.9998161196708679,General Feedback
CBE ይለያል።,5,2025-11-29,CBE,Google Play,POSITIVE,0.9886477589607239,0.0,NEUTRAL,POSITIVE,0.9886477589607239,General Feedback
it's special for me,5,2025-11-29,CBE,Google Play,POSITIVE,0.9998202919960022,0.4019,POSITIVE,POSITIVE,0.9998202919960022,General Feedback
Make it user friendly.,2,2025-11-29,CBE,Google Play,POSITIVE,0.9920620918273926,0.4939,POSITIVE,POSITIVE,0.9920620918273926,UI/UX & Design
maaliif daddafee install gaafata,3,2025-11-28,CBE,Google Play,NEGATIVE,-0.012447357177734375,0.0,NEUTRAL,NEGATIVE,-0.012447357177734375,General Feedback
good app,5,2025-11-28,CBE,Google Play,POSITIVE,0.9998493194580078,0.4404,POSITIVE,POSITIVE,0.9998493194580078,General Feedback
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,POSITIVE,0.9984679818153381,0.5198,POSITIVE,POSITIVE,0.9984679818153381,Transaction Performance
why didn't work this app?,1,2025-11-27,CBE,Google Play,NEGATIVE,-0.0008675456047058105,0.0,NEUTRAL,NEGATIVE,-0.0008675456047058105,General Feedback
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,POSITIVE,0.9996963739395142,0.68,POSITIVE,POSITIVE,0.9996963739395142,General Feedback
this app very bad 👎,1,2025-11-27,CBE,Google Play,NEGATIVE,-0.00020319223403930664,-0.5849,NEGATIVE,NEGATIVE,-0.00020319223403930664,General Feedback
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,NEGATIVE,-0.04349040985107422,0.6701,POSITIVE,NEGATIVE,-0.04349040985107422,General Feedback
Good application,4,2025-11-27,CBE,Google Play,POSITIVE,0.999854564666748,0.4404,POSITIVE,POSITIVE,0.999854564666748,General Feedback
It is nice app,5,2025-11-26,CBE,Google Play,POSITIVE,0.9998478889465332,0.4215,POSITIVE,POSITIVE,0.9998478889465332,General Feedback
best,5,2025-11-25,CBE,Google Play,POSITIVE,0.9997941851615906,0.6369,POSITIVE,POSITIVE,0.9997941851615906,General Feedback
good app,5,2025-11-25,CBE,Google Play,POSITIVE,0.9998493194580078,0.4404,POSITIVE,POSITIVE,0.9998493194580078,General Feedback
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,NEGATIVE,-0.000656425952911377,-0.8746,NEGATIVE,NEGATIVE,-0.000656425952911377,Account Access & Security
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,POSITIVE,0.9971639513969421,0.6808,POSITIVE,POSITIVE,0.9971639513969421,General Feedback
good,5,2025-11-24,CBE,Google Play,POSITIVE,0.9998161196708679,0.4404,POSITIVE,POSITIVE,0.9998161196708679,General Feedback
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,NEGATIVE,-0.0015173554420471191,0.0,NEUTRAL,NEGATIVE,-0.0015173554420471191,Transaction Performance
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,NEGATIVE,-0.0143355131149292,0.0,NEUTRAL,NEGATIVE,-0.0143355131149292,General Feedback
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,NEGATIVE,-0.1167868971824646,0.0,NEUTRAL,NEGATIVE,-0.1167868971824646,General Feedback
wow,5,2025-11-23,CBE,Google Play,POSITIVE,0.999592125415802,0.5859,POSITIVE,POSITIVE,0.999592125415802,General Feedback
good,5,2025-11-23,CBE,Google Play,POSITIVE,0.9998161196708679,0.4404,POSITIVE,POSITIVE,0.9998161196708679,General Feedback
nice,5,2025-11-22,CBE,Google Play,POSITIVE,0.9998552799224854,0.4215,POSITIVE,POSITIVE,0.9998552799224854,General Feedback
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,NEGATIVE,-0.018107712268829346,0.0,NEUTRAL,NEGATIVE,-0.018107712268829346,General Feedback
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,POSITIVE,0.9998483657836914,0.7395,POSITIVE,POSITIVE,0.9998483657836914,General Feedback
excellent,5,2025-11-22,CBE,Google Play,POSITIVE,0.9998434782028198,0.5719,POSITIVE,POSITIVE,0.9998434782028198,General Feedback
good,5,2025-11-21,CBE,Google Play,POSITIVE,0.9998161196708679,0.4404,POSITIVE,POSITIVE,0.9998161196708679,General Feedback
ዳጊ,5,2025-11-21,CBE,Google Play,NEGATIVE,-0.30294370651245117,0.0,NEUTRAL,NEGATIVE,-0.30294370651245117,General Feedback
absolutely right,5,2025-11-21,CBE,Google Play,POSITIVE,0.9998525381088257,0.0,NEUTRAL,POSITIVE,0.9998525381088257,General Feedback
good app,5,2025-11-21,CBE,Google Play,POSITIVE,0.9998493194580078,0.4404,POSITIVE,POSITIVE,0.9998493194580078,General Feedback
